Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Brand_Encoded
160.0,4.0,64,4000.0,16.0,31
160.0,4.0,128,4150.0,12.0,29
150.0,1.0,8,1800.0,8.0,4
60.0,1.0,8,2800.0,5.0,2
220.0,4.0,64,10000.0,16.0,21
350.0,8.0,128,20000.0,16.0,21
450.0,1.0,8,500.0,5.0,31
40.0,2.0,16,2200.0,5.0,31
500.0,6.0,64,5000.0,48.0,31
60.0,1.0,16,2000.0,8.0,31
60.0,1.0,16,2000.0,8.0,31
300.0,8.0,128,5000.0,21.0,28
110.0,3.0,16,4350.0,13.0,6
130.0,6.0,128,10000.0,21.0,6
180.0,4.0,64,10050.0,16.0,6
150.0,4.0,64,4650.0,13.0,6
170.0,6.0,128,4400.0,16.0,6
200.0,2.0,16,3140.0,13.0,31
350.0,2.0,16,4100.0,13.0,31
250.0,2.0,16,2730.0,13.0,31
200.0,3.0,32,3140.0,13.0,31
190.0,3.0,32,3000.0,13.0,31
330.0,3.0,32,5000.0,13.0,1
280.0,2.0,16,3000.0,13.0,31
350.0,3.0,32,2900.0,16.0,31
70.0,1.0,8,2200.0,8.0,31
100.0,1.0,8,1800.0,8.0,31
50.0,1.0,8,2100.0,5.0,31
30.0,4.0,2,850.0,2.0,15
230.0,1.0,4,2500.0,5.0,31
110.0,1.0,4,1650.0,5.0,31
280.0,4.0,4,2000.0,5.0,31
150.0,1.0,8,2070.0,8.0,31
230.0,1.0,16,4000.0,5.0,31
180.0,4.0,4,1650.0,5.0,31
230.0,4.0,4,1600.0,5.0,31
210.0,4.0,4,1400.0,5.0,31
250.0,4.0,4,3400.0,2.0,31
230.0,1.0,4,1600.0,5.0,31
340.0,1.0,4,1900.0,8.0,31
430.0,1.0,4,1650.0,8.0,31
190.0,4.0,4,1600.0,5.0,31
380.0,1.0,4,1800.0,8.0,31
360.0,1.0,8,1780.0,6.0,31
520.0,2.0,32,2300.0,13.0,31
100.0,4.0,1,1500.0,15.0,31
100.0,4.0,4,1650.0,5.0,31
110.0,4.0,4,1730.0,5.0,31
430.0,2.0,16,1780.0,13.0,31
150.0,4.0,4,1500.0,15.0,31
130.0,4.0,4,1600.0,15.0,31
340.0,2.0,16,3200.0,13.0,31
150.0,4.0,4,1600.0,5.0,31
200.0,1.0,4,2500.0,8.0,31
110.0,1.0,4,2000.0,8.0,31
270.0,1.0,8,2500.0,13.0,31
310.0,1.0,16,2300.0,8.0,31
230.0,2.0,16,2000.0,13.0,31
290.0,2.0,16,2300.0,13.0,31
250.0,2.0,16,3100.0,13.0,31
70.0,4.0,4,1400.0,15.0,31
350.0,2.0,32,4250.0,13.0,31
200.0,2.0,16,2300.0,8.0,31
100.0,4.0,4,2000.0,5.0,31
130.0,1.0,4,2000.0,5.0,31
180.0,2.0,16,2300.0,13.0,31
240.0,2.0,32,3100.0,13.0,31
250.0,3.0,32,3000.0,13.0,31
210.0,2.0,16,2000.0,13.0,31
120.0,4.0,4,1850.0,5.0,31
170.0,1.0,8,2300.0,8.0,31
180.0,1.0,16,2300.0,8.0,31
200.0,2.0,16,3400.0,8.0,31
180.0,2.0,16,2500.0,13.0,31
80.0,1.0,8,2000.0,5.0,31
330.0,2.0,16,2400.0,13.0,31
220.0,2.0,16,2400.0,13.0,31
210.0,1.0,8,2400.0,13.0,31
70.0,4.0,4,1200.0,2.0,31
100.0,4.0,4,1850.0,5.0,31
80.0,1.0,8,2000.0,8.0,31
100.0,1.0,8,2000.0,13.0,31
300.0,3.0,16,3100.0,16.0,31
170.0,2.0,16,2900.0,16.0,31
200.0,3.0,16,2900.0,16.0,31
270.0,4.0,8,1500.0,5.0,15
110.0,1.0,8,2000.0,5.0,31
100.0,1.0,4,1650.0,5.0,31
130.0,2.0,16,2480.0,8.0,31
130.0,1.0,4,1800.0,5.0,31
100.0,1.0,8,1500.0,5.0,31
290.0,4.0,32,3000.0,13.0,31
100.0,2.0,16,2200.0,13.0,31
100.0,1.0,8,2200.0,5.0,31
180.0,2.0,16,3400.0,8.0,31
300.0,4.0,128,3000.0,13.0,31
290.0,2.0,16,2200.0,13.0,31
250.0,3.0,32,3000.0,13.0,31
130.0,2.0,16,3000.0,8.0,31
300.0,3.0,32,2800.0,13.0,31
280.0,3.0,32,2500.0,13.0,31
290.0,2.0,32,3000.0,13.0,31
170.0,2.0,16,3000.0,13.0,31
110.0,1.0,8,2300.0,5.0,31
120.0,2.0,16,3080.0,8.0,31
250.0,3.0,64,2200.0,13.0,31
120.0,2.0,16,2500.0,13.0,31
130.0,2.0,16,2500.0,13.0,31
140.0,2.0,16,2540.0,13.0,31
150.0,2.0,16,2500.0,13.0,31
120.0,2.0,16,2540.0,13.0,31
130.0,1.0,8,4000.0,8.0,31
200.0,2.0,16,3000.0,13.0,31
90.0,1.0,8,2150.0,8.0,31
160.0,3.0,64,2800.0,16.0,31
210.0,2.0,16,3400.0,13.0,31
70.0,1.0,4,1400.0,5.0,31
280.0,4.0,64,3000.0,16.0,31
240.0,4.0,64,3250.0,20.0,31
200.0,4.0,64,4000.0,16.0,31
230.0,3.0,32,5000.0,13.0,31
110.0,2.0,32,3400.0,13.0,31
110.0,2.0,16,3000.0,13.0,31
