Brand,Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP
ZTE,160.0,4.0,64,4000.0,16.0
Umidigi,160.0,4.0,128,4150.0,12.0
Coolpad,150.0,1.0,8,1800.0,8.0
Blackview,60.0,1.0,8,2800.0,5.0
Oukitel,220.0,4.0,64,10000.0,16.0
Oukitel,350.0,8.0,128,20000.0,16.0
ZTE,450.0,1.0,8,500.0,5.0
ZTE,40.0,2.0,16,2200.0,5.0
ZTE,500.0,6.0,64,5000.0,48.0
ZTE,60.0,1.0,16,2000.0,8.0
ZTE,60.0,1.0,16,2000.0,8.0
Ulefone,300.0,8.0,128,5000.0,21.0
Doogee,110.0,3.0,16,4350.0,13.0
Doogee,130.0,6.0,128,10000.0,21.0
Doogee,180.0,4.0,64,10050.0,16.0
Doogee,150.0,4.0,64,4650.0,13.0
Doogee,170.0,6.0,128,4400.0,16.0
ZTE,200.0,2.0,16,3140.0,13.0
ZTE,350.0,2.0,16,4100.0,13.0
ZTE,250.0,2.0,16,2730.0,13.0
ZTE,200.0,3.0,32,3140.0,13.0
ZTE,190.0,3.0,32,3000.0,13.0
Asus,330.0,3.0,32,5000.0,13.0
ZTE,280.0,2.0,16,3000.0,13.0
ZTE,350.0,3.0,32,2900.0,16.0
ZTE,70.0,1.0,8,2200.0,8.0
ZTE,100.0,1.0,8,1800.0,8.0
ZTE,50.0,1.0,8,2100.0,5.0
Micromax,30.0,,2,850.0,2.0
ZTE,230.0,1.0,4,2500.0,5.0
ZTE,110.0,1.0,4,1650.0,5.0
ZTE,280.0,,4,2000.0,5.0
ZTE,150.0,1.0,8,2070.0,8.0
ZTE,230.0,1.0,16,4000.0,5.0
ZTE,180.0,,4,1650.0,5.0
ZTE,230.0,,4,1600.0,5.0
ZTE,210.0,,4,1400.0,5.0
ZTE,250.0,,4,3400.0,2.0
ZTE,230.0,1.0,4,1600.0,5.0
ZTE,340.0,1.0,4,1900.0,8.0
ZTE,430.0,1.0,4,1650.0,8.0
ZTE,190.0,,4,1600.0,5.0
ZTE,380.0,1.0,4,1800.0,8.0
ZTE,360.0,1.0,8,1780.0,6.0
ZTE,520.0,2.0,32,2300.0,13.0
ZTE,100.0,,1,1500.0,15.0
ZTE,100.0,,4,1650.0,5.0
ZTE,110.0,,4,1730.0,5.0
ZTE,430.0,2.0,16,1780.0,13.0
ZTE,150.0,,4,1500.0,15.0
ZTE,130.0,,4,1600.0,15.0
