Brand,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Price_Clean,Storage_Category
Acer,2.0,32.0,3400.0,13.0,170.0,1
Acer,3.0,32.0,4080.0,13.0,250.0,1
Acer,1.0,8.0,2000.0,8.0,120.0,1
Acer,3.0,32.0,4020.0,13.0,230.0,1
Acer,2.0,16.0,5000.0,13.0,200.0,1
Acer,1.0,8.0,2000.0,8.0,110.0,1
Acer,2.0,64.0,4420.0,5.0,350.0,2
Acer,3.0,32.0,2870.0,21.0,220.0,1
Acer,1.0,8.0,2000.0,5.0,110.0,1
Acer,1.0,8.0,2000.0,5.0,90.0,1
Acer,1.0,8.0,4000.0,8.0,200.0,1
Acer,1.0,8.0,2420.0,8.0,150.0,1
Acer,2.0,64.0,5910.0,5.0,250.0,2
Acer,1.0,32.0,4550.0,5.0,180.0,1
Acer,1.0,16.0,5910.0,5.0,190.0,1
Acer,2.0,32.0,5910.0,5.0,230.0,1
Acer,1.0,8.0,2300.0,13.0,200.0,1
Acer,1.0,8.0,2000.0,8.0,130.0,1
Acer,1.0,8.0,1300.0,5.0,90.0,1
Acer,1.0,8.0,2000.0,5.0,130.0,1
Acer,2.0,16.0,2300.0,13.0,200.0,1
Acer,1.0,4.0,2000.0,8.0,150.0,1
Acer,2.0,16.0,2700.0,13.0,260.0,1
Acer,1.0,8.0,2100.0,13.0,180.0,1
Acer,2.0,16.0,3500.0,8.0,200.0,1
Acer,1.0,4.0,2500.0,8.0,200.0,1
Acer,2.0,32.0,4600.0,5.0,200.0,1
Acer,1.0,8.0,3700.0,5.0,90.0,1
Acer,1.0,16.0,4000.0,5.0,130.0,1
Acer,2.0,16.0,3300.0,13.0,340.0,1
Acer,1.0,8.0,2400.0,8.0,320.0,1
Acer,1.0,8.0,4960.0,5.0,150.0,1
Acer,1.0,16.0,4960.0,5.0,120.0,1
Acer,1.0,4.0,2000.0,8.0,180.0,1
Acer,1.0,4.0,2000.0,8.0,180.0,1
Acer,1.0,4.0,1760.0,5.0,170.0,1
Acer,1.0,8.0,3420.0,2.0,150.0,1
Acer,1.0,4.0,1500.0,5.0,160.0,1
Acer,1.0,4.0,1500.0,5.0,140.0,1
Acer,1.0,8.0,1460.0,8.0,220.0,1
Acer,1.0,16.0,3260.0,2.0,260.0,1
Acer,1.0,16.0,3260.0,2.0,200.0,1
Acer,1.0,64.0,3260.0,5.0,490.0,2
Acer,1.0,32.0,3260.0,5.0,200.0,1
Acer,1.0,16.0,1530.0,5.0,260.0,1
Acer,1.0,16.0,1530.0,5.0,100.0,1
alcatel,2.0,16.0,2800.0,8.0,200.0,1
alcatel,2.0,16.0,3000.0,8.0,120.0,1
alcatel,2.0,16.0,2460.0,13.0,200.0,1
alcatel,2.0,16.0,2500.0,8.0,80.0,1
alcatel,2.0,16.0,2150.0,13.0,250.0,1
alcatel,1.0,8.0,2000.0,8.0,60.0,1
alcatel,2.0,16.0,3000.0,13.0,140.0,1
alcatel,1.0,8.0,3240.0,5.0,130.0,1
alcatel,2.0,16.0,2960.0,13.0,150.0,1
alcatel,5.0,16.0,2500.0,8.0,110.0,1
alcatel,1.0,8.0,2500.0,8.0,80.0,1
alcatel,4.0,64.0,3000.0,21.0,440.0,2
alcatel,3.0,32.0,3000.0,16.0,350.0,1
alcatel,2.0,16.0,2610.0,13.0,250.0,1
alcatel,1.0,8.0,2580.0,2.0,80.0,1
alcatel,1.0,8.0,2580.0,13.0,120.0,1
alcatel,1.0,8.0,2580.0,8.0,100.0,1
alcatel,1.0,8.0,2910.0,5.0,120.0,1
alcatel,1.0,8.0,1800.0,5.0,110.0,1
alcatel,2.0,16.0,2500.0,8.0,130.0,1
alcatel,2.0,16.0,3000.0,13.0,230.0,1
alcatel,2.0,16.0,3500.0,13.0,130.0,1
alcatel,1.0,4.0,2000.0,5.0,130.0,1
alcatel,2.0,16.0,2910.0,13.0,250.0,1
alcatel,5.0,8.0,2000.0,13.0,200.0,1
alcatel,1.0,8.0,2800.0,5.0,120.0,1
alcatel,1.0,4.0,3240.0,2.0,100.0,1
alcatel,1.0,4.0,2820.0,2.0,130.0,1
alcatel,1.0,8.0,4600.0,5.0,250.0,1
alcatel,1.0,4.0,2000.0,5.0,120.0,1
alcatel,1.0,8.0,2000.0,5.0,180.0,1
alcatel,1.0,8.0,2000.0,5.0,130.0,1
alcatel,1.0,8.0,4100.0,5.0,250.0,1
alcatel,2.0,32.0,4060.0,5.0,280.0,1
alcatel,2.0,16.0,3100.0,1.0,460.0,1
alcatel,1.0,4.0,3240.0,3.0,190.0,1
alcatel,1.0,8.0,3400.0,8.0,280.0,1
alcatel,1.0,4.0,3000.0,5.0,140.0,1
alcatel,1.0,4.0,2000.0,5.0,120.0,1
alcatel,1.0,8.0,2150.0,8.0,280.0,1
alcatel,1.0,8.0,2000.0,8.0,200.0,1
alcatel,1.0,4.0,2000.0,8.0,200.0,1
alcatel,1.0,4.0,1700.0,8.0,160.0,1
alcatel,2.0,16.0,2500.0,1.0,290.0,1
alcatel,1.0,4.0,2500.0,8.0,140.0,1
alcatel,1.0,4.0,3240.0,2.0,160.0,1
alcatel,1.0,4.0,1800.0,5.0,110.0,1
alcatel,1.0,4.0,2000.0,5.0,130.0,1
alcatel,1.0,16.0,2000.0,13.0,360.0,1
alcatel,2.0,8.0,3400.0,13.0,370.0,1
alcatel,1.0,4.0,2000.0,8.0,160.0,1
alcatel,2.0,16.0,2000.0,1.0,370.0,1
alcatel,1.0,8.0,3300.0,2.0,110.0,1
alcatel,1.0,16.0,1800.0,8.0,270.0,1
alcatel,1.0,4.0,1800.0,8.0,230.0,1
alcatel,1.0,4.0,1400.0,5.0,140.0,1
alcatel,1.0,4.0,2500.0,8.0,350.0,1
alcatel,1.0,4.0,2500.0,12.0,620.0,1
alcatel,1.0,4.0,2500.0,8.0,220.0,1
alcatel,1.0,4.0,1800.0,8.0,280.0,1
alcatel,1.0,4.0,1800.0,8.0,250.0,1
alcatel,1.0,8.0,1800.0,5.0,250.0,1
Allview,4.0,64.0,3000.0,13.0,420.0,2
Allview,4.0,64.0,3000.0,16.0,450.0,2
Allview,3.0,64.0,5020.0,13.0,420.0,2
Allview,3.0,32.0,3150.0,13.0,300.0,1
Allview,3.0,16.0,2350.0,13.0,200.0,1
Allview,2.0,16.0,2350.0,13.0,180.0,1
Allview,1.0,16.0,2400.0,8.0,160.0,1
Allview,3.0,16.0,3150.0,13.0,300.0,1
Allview,1.0,16.0,3150.0,13.0,250.0,1
Allview,1.0,16.0,2000.0,8.0,200.0,1
Allview,1.0,16.0,2000.0,5.0,120.0,1
Allview,2.0,16.0,4000.0,8.0,170.0,1
Allview,1.0,8.0,1700.0,5.0,130.0,1
Allview,1.0,8.0,3140.0,8.0,100.0,1
Allview,2.0,16.0,6000.0,13.0,300.0,1
Allview,1.0,16.0,4000.0,5.0,140.0,1
Allview,2.0,16.0,2100.0,13.0,240.0,1
Allview,1.0,8.0,1850.0,8.0,140.0,1
Allview,3.0,64.0,3500.0,24.0,490.0,2
Allview,1.0,8.0,1800.0,5.0,140.0,1
Allview,1.0,8.0,1920.0,8.0,230.0,1
Allview,1.0,8.0,2400.0,8.0,230.0,1
Allview,2.0,16.0,2200.0,16.0,300.0,1
Allview,1.0,16.0,2050.0,8.0,230.0,1
Allview,1.0,8.0,2000.0,8.0,170.0,1
Allview,1.0,8.0,1750.0,8.0,160.0,1
Allview,2.0,16.0,2300.0,13.0,340.0,1
Allview,1.0,16.0,2200.0,13.0,290.0,1
Allview,3.0,32.0,2500.0,16.0,470.0,1
Allview,2.0,16.0,2500.0,13.0,310.0,1
Allview,1.0,8.0,4400.0,2.0,120.0,1
Allview,1.0,8.0,4000.0,5.0,190.0,1
Allview,1.0,8.0,4000.0,5.0,150.0,1
Allview,1.0,4.0,2100.0,8.0,220.0,1
Allview,1.0,16.0,3000.0,8.0,270.0,1
Allview,2.0,32.0,2000.0,13.0,360.0,1
Allview,1.0,8.0,1800.0,8.0,200.0,1
Allview,1.0,16.0,1800.0,8.0,230.0,1
Allview,1.0,4.0,3000.0,8.0,230.0,1
Allview,1.0,4.0,2100.0,8.0,170.0,1
Allview,1.0,4.0,2100.0,8.0,200.0,1
Amazon,2.0,64.0,2400.0,13.0,160.0,2
Apple,3.0,256.0,2900.0,12.0,900.0,4
Apple,2.0,256.0,1960.0,12.0,760.0,4
Apple,2.0,128.0,1624.0,12.0,440.0,3
Apple,2.0,128.0,2750.0,12.0,750.0,3
Apple,2.0,128.0,1715.0,12.0,620.0,3
Apple,4.0,256.0,307.0,8.0,850.0,4
Apple,2.0,128.0,5124.0,8.0,360.0,3
Apple,1.0,128.0,6470.0,5.0,400.0,3
Apple,1.0,128.0,2915.0,8.0,700.0,3
Apple,1.0,128.0,1810.0,8.0,540.0,3
Apple,1.0,128.0,6470.0,5.0,270.0,3
Apple,1.0,64.0,1560.0,8.0,330.0,2
Apple,1.0,32.0,1510.0,8.0,300.0,1
Apple,1.0,64.0,1440.0,8.0,340.0,2
Archos,2.0,16.0,3000.0,13.0,180.0,1
Archos,1.0,16.0,2400.0,13.0,130.0,1
Archos,4.0,64.0,2950.0,7.0,250.0,2
Archos,1.0,8.0,2100.0,13.0,140.0,1
Archos,1.0,8.0,2000.0,8.0,150.0,1
Archos,2.0,16.0,2700.0,16.0,200.0,1
Archos,1.0,8.0,3500.0,5.0,280.0,1
Archos,1.0,4.0,2800.0,8.0,240.0,1
Archos,1.0,8.0,2000.0,8.0,240.0,1
Archos,1.0,8.0,2000.0,8.0,280.0,1
Archos,1.0,4.0,1850.0,5.0,230.0,1
Asus,3.0,32.0,4680.0,13.0,390.0,1
Asus,2.0,32.0,2650.0,13.0,150.0,1
Asus,3.0,32.0,5000.0,13.0,230.0,1
Asus,8.0,256.0,3300.0,23.0,800.0,4
Asus,4.0,128.0,5000.0,12.0,550.0,3
Asus,1.0,8.0,3480.0,5.0,120.0,1
Asus,4.0,32.0,4680.0,8.0,390.0,1
Asus,2.0,16.0,2600.0,13.0,130.0,1
Asus,4.0,32.0,4100.0,16.0,280.0,1
Asus,4.0,64.0,3000.0,16.0,440.0,2
Asus,4.0,64.0,5900.0,8.0,400.0,2
Asus,2.0,16.0,4130.0,13.0,230.0,1
Asus,2.0,32.0,3000.0,13.0,270.0,1
Asus,3.0,32.0,2600.0,16.0,360.0,1
Asus,2.0,16.0,4100.0,13.0,210.0,1
Asus,4.0,128.0,4600.0,23.0,700.0,3
Asus,6.0,256.0,3000.0,23.0,690.0,4
Asus,3.0,32.0,3000.0,16.0,450.0,1
Asus,2.0,32.0,5000.0,13.0,170.0,1
Asus,1.0,8.0,2070.0,8.0,110.0,1
Asus,1.0,8.0,2070.0,5.0,90.0,1
Asus,2.0,32.0,3010.0,8.0,150.0,1
Asus,2.0,16.0,2500.0,8.0,110.0,1
Asus,1.0,8.0,1600.0,5.0,70.0,1
Asus,2.0,16.0,2070.0,8.0,230.0,1
Asus,3.0,32.0,3000.0,13.0,180.0,1
Asus,4.0,128.0,3000.0,13.0,500.0,3
Asus,2.0,16.0,2070.0,8.0,130.0,1
Asus,2.0,16.0,5000.0,13.0,170.0,1
Asus,4.0,128.0,3000.0,13.0,500.0,3
